"Time (s)","Volts (mV)","Power (mW)","Remaining %"
"78","4138","8925","79"
"83","4141","8037","79"
"88","4149","7936","78"
"94","4141","8091","77"
"99","4155","7936","77"
"104","4129","7916","76"
"109","4121","8151","76"
"114","4115","7721","76"
"119","4121","8653","76"
"124","4136","7717","76"
"130","4109","8360","75"
"135","4112","7660","75"
"140","4120","8787","75"
"145","4109","8212","75"
"150","4131","8400","75"
"155","4123","7721","75"
"160","4089","8643","74"
"165","4113","7468","74"
"171","4120","8545","74"
"176","4118","7660","73"
"181","4120","8202","73"
"186","4109","7630","73"
"191","4113","8848","73"
"196","4114","7694","73"
"201","4103","7987","73"
"206","4122","7613","73"
"212","4098","8027","73"
"217","4116","7812","73"
"222","4090","7993","73"
"227","4095","7987","72"
"232","4107","7667","72"
"237","4117","7849","72"
"242","4106","7573","72"
"247","4096","8064","72"
"253","4088","7364","72"
"258","4096","8511","72"
"263","4098","7781","72"
"268","4104","8081","72"
"273","4096","7953","72"
"278","4090","8114","72"
"283","4091","8091","72"
"288","4099","7667","72"
"294","4091","7876","72"
"299","4080","8040","72"
"304","4096","8020","72"
"309","4098","8575","72"
"314","4104","8020","72"
"319","4093","8185","72"
"324","4106","8313","72"
"329","4115","8246","72"
"334","4120","7643","72"
"340","4081","8575","72"
"345","4106","8071","72"
"350","4114","8269","72"
"355","4083","7839","72"
"360","4115","8246","72"
"365","4104","7674","72"
"370","4097","8444","72"
"375","4109","7667","72"
"381","4101","8212","72"
"386","4107","7354","72"
"391","4094","7650","72"
"396","4114","8313","72"
"401","4115","7859","72"
"406","4081","8013","72"
"411","4109","7536","72"
"416","4099","7616","72"
"422","4104","7660","72"
"427","4089","7950","72"
"432","4089","8158","72"
"437","4091","7839","71"
"442","4094","7859","71"
"447","4091","7448","71"
"452","4097","7347","71"
"457","4086","8195","71"
"463","4087","7717","71"
"468","4076","7657","71"
"473","4094","7812","71"
"478","4091","7839","70"
"483","4073","8074","70"
"488","4110","7976","70"
"493","4105","7909","70"
"498","4076","8141","70"
"504","4087","7950","70"
"509","4094","8945","70"
"514","4065","8390","70"
"519","4084","8246","70"
"524","4086","8175","70"
"529","4078","7960","70"
"534","4089","8047","70"
"539","4084","8885","70"
"545","4081","8306","70"
"550","4056","8545","69"
"555","4072","8269","69"
"560","4051","8299","69"
"565","4058","7425","69"
"570","4085","7943","69"
"575","4058","7960","68"
"580","4051","8047","67"
"586","4034","7754","67"
"591","4064","7630","67"
"596","4066","7751","67"
"601","4043","7933","67"
"606","4064","7744","67"
"611","4050","7822","67"
"616","4062","7606","67"
"621","4072","7684","67"
"627","4090","7701","67"
"632","4062","8192","67"
"637","4054","7495","67"
"642","4059","7728","67"
"647","4056","7690","67"
"652","4070","7701","65"
"657","4040","7546","65"
"662","4042","8074","65"
"668","4055","8333","65"
"673","4061","7865","65"
"678","4075","8252","65"
"683","4058","7754","65"
"688","4035","8468","65"
"693","4059","8239","65"
"698","4061","8666","65"
"703","4072","7936","65"
"709","4066","8417","65"
"714","4051","7684","65"
"719","4050","8394","65"
"724","4064","7479","65"
"729","4059","7933","65"
"734","4042","7711","65"
"739","4066","8693","65"
"744","4066","8289","65"
"750","4051","8780","65"
"755","4064","7701","65"
"760","4043","8454","65"
"765","4059","7966","65"
"770","4061","7751","65"
"775","4026","7936","65"
"780","4059","8081","65"
"785","4061","8165","65"
"791","4066","8081","65"
"796","4035","7839","65"
"801","4035","7408","65"
"806","4067","8108","65"
"811","4051","8047","65"
"816","4055","8091","65"
"821","4046","7684","65"
"826","4056","7583","65"
"832","4048","7674","65"
"837","4059","7667","65"
"842","4055","7684","65"
"847","4061","8774","65"
"852","4059","7859","65"
"857","4035","8764","65"
"862","4055","7778","65"
"867","4055","8858","65"
"873","4045","7721","65"
"878","4043","8720","65"
"883","4029","7892","65"
"888","4053","8538","65"
"893","4063","7788","65"
"898","4067","8575","65"
"903","4051","8192","65"
"908","4035","8468","65"
"914","4042","7462","65"
"919","4034","8333","65"
"924","4050","8135","65"
"929","4038","8885","65"
"934","4045","7788","65"
"939","4035","7771","65"
"944","4019","7788","65"
"949","4022","7721","65"
"955","4016","8212","65"
"960","4051","7425","65"
"965","4032","8289","65"
"970","4032","7916","65"
"975","4034","8091","65"
"980","4051","8357","65"
"985","4016","8124","65"
"990","4059","8141","65"
"996","4029","8461","65"
"1001","4043","8091","65"
"1006","4064","7842","65"
"1011","4050","7919","65"
"1016","4046","7876","65"
"1021","4035","8252","65"
"1026","4050","8730","65"
"1031","4026","8340","65"
"1037","4030","8246","65"
"1042","4021","8175","65"
"1047","4043","8212","65"
"1052","4055","7997","65"
"1057","4034","8548","65"
"1062","4051","7606","65"
"1067","4050","8360","65"
"1072","4040","7950","65"
"1078","4053","8286","65"
"1083","4045","8091","65"
"1088","4050","7976","65"
"1093","4043","7892","65"
"1098","4040","8272","65"
"1103","4035","8165","65"
"1108","4050","8804","65"
"1113","4027","8330","65"
"1119","4050","7865","65"
"1124","4045","7717","65"
"1129","4040","7600","65"
"1134","4016","8074","65"
"1139","4029","8135","65"
"1144","4006","7916","65"
"1149","4013","7889","65"
"1154","4009","7970","65"
"1160","3998","8027","64"
"1165","4048","8020","64"
"1170","4040","8047","64"
"1175","4040","7960","64"
"1180","4035","7788","64"
"1185","4040","8478","64"
"1190","4038","8373","64"
"1195","4027","7744","64"
"1201","4037","7690","64"
"1206","4022","8074","64"
"1211","4024","8114","64"
"1216","4032","8643","64"
"1221","4037","8434","64"
"1226","4001","8868","63"
"1231","4033","7728","63"
"1236","4021","8229","63"
"1242","4033","7751","63"
"1247","4009","8347","63"
"1252","4025","7738","63"
"1257","4037","8653","63"
"1262","4027","7933","63"
"1267","4037","8696","63"
"1272","4024","7778","63"
"1277","4003","8841","63"
"1283","4053","7546","63"
"1288","4016","8256","63"
"1293","4044","7761","63"
"1298","4019","7876","63"
"1303","4044","7250","63"
"1308","4027","8316","63"
"1313","4010","7960","63"
"1318","4027","7953","63"
"1324","4023","7738","63"
"1329","4037","8168","63"
"1334","4037","7519","63"
"1339","4032","8299","63"
"1344","4032","8360","63"
"1349","3994","7970","63"
"1354","4019","7778","63"
"1359","4047","7751","63"
"1365","4035","7976","63"
"1370","4003","8013","63"
"1375","4043","7865","63"
"1380","4047","8212","63"
"1385","4008","8313","63"
"1390","4051","7953","63"
"1395","4055","8787","63"
"1400","4040","7872","63"
"1406","4035","8515","63"
"1411","4005","7751","63"
"1416","4038","8074","63"
"1421","4035","8114","63"
"1426","4029","9214","63"
"1431","4021","7872","63"
"1436","4030","8407","63"
"1441","4032","8027","63"
"1446","4029","8582","63"
"1452","4051","7452","63"
"1457","4045","8390","63"
"1462","4040","8108","63"
"1467","4037","8316","63"
"1472","4016","8098","63"
"1477","4022","8495","63"
"1482","4027","7751","63"
"1487","4022","7855","63"
"1493","4021","7761","63"
"1498","4026","7993","63"
"1503","4014","7744","63"
"1508","4016","7953","63"
"1513","4016","8935","63"
"1518","4026","8212","63"
"1523","4035","9685","63"
"1528","4005","7980","63"
"1534","4040","7297","63"
"1539","4043","7980","63"
"1544","4051","8225","63"
"1549","4026","7711","63"
"1554","4040","8246","63"
"1559","4030","7771","63"
"1564","4029","7993","63"
"1569","4013","7919","63"
"1575","4024","8892","63"
"1580","4022","8131","63"
"1585","4016","8848","63"
"1590","4048","8131","63"
"1595","4024","8548","63"
"1600","4040","7828","63"
"1605","4005","8468","63"
"1610","4026","8131","63"
"1616","4015","8316","63"
