"Time (s)","Volts (mV)","Power (mW)","Remaining %"
"1621","4046","7674","63"
"1626","4015","8013","63"
"1631","4026","8417","63"
"1636","3989","8572","63"
"1641","4038","10093","63"
"1646","4039","8488","63"
"1651","4026","8158","63"
"1657","4026","8653","63"
"1662","4028","7899","63"
"1667","4028","7997","63"
"1672","4028","8131","63"
"1677","4036","7798","63"
"1682","4033","8124","63"
"1687","4023","7943","63"
"1692","4038","8131","63"
"1698","4026","8151","63"
"1703","4042","8185","63"
"1708","4033","8272","63"
"1713","4023","7495","63"
"1718","4034","7606","63"
"1723","4025","7815","63"
"1728","4032","7754","63"
"1733","4022","8834","63"
"1739","4032","7933","63"
"1744","4054","7711","63"
"1749","4032","8804","63"
"1754","4032","8013","63"
"1759","4037","10241","63"
"1764","4049","8360","63"
"1769","4059","7744","63"
"1774","4049","8555","63"
"1780","4059","8037","63"
"1785","4049","8478","63"
"1790","4006","8124","63"
"1795","4049","8565","63"
"1800","4037","7889","63"
"1805","4020","8555","63"
"1810","4025","8168","63"
"1815","4001","8693","63"
"1821","4041","7458","63"
"1826","4032","8400","63"
"1831","4046","7926","63"
"1836","4040","8814","63"
"1841","4020","8098","63"
"1846","4024","8114","63"
"1851","4049","7859","63"
"1856","4038","7805","63"
"1862","4032","7448","63"
"1867","4038","8360","63"
"1872","4009","7569","63"
"1877","4035","8114","63"
"1882","4022","7842","63"
"1887","4049","8091","63"
"1892","4043","7892","63"
"1897","4041","8037","63"
"1903","4054","8306","63"
"1908","4027","8357","63"
"1913","4041","7859","63"
"1918","4041","7788","63"
"1923","4035","8272","63"
"1928","4045","8417","63"
"1933","4024","8696","63"
"1938","4043","7754","63"
"1943","4028","8599","63"
"1949","4011","7633","63"
"1954","4035","8565","63"
"1959","4038","7677","63"
"1964","4051","8538","63"
"1969","4056","8390","63"
"1974","4041","8929","63"
"1979","4016","8027","63"
"1984","4043","8989","63"
"1990","4069","7815","63"
"1995","4043","8407","63"
"2000","4075","8027","63"
"2005","4051","8357","63"
"2010","4069","7650","63"
"2015","4032","8209","63"
"2020","4063","7919","63"
"2025","4033","8454","63"
"2031","4059","7701","63"
"2036","4040","8003","63"
"2041","4058","8219","63"
"2046","4033","8124","63"
"2051","4059","7623","63"
"2056","4053","8013","63"
"2061","4054","7754","63"
"2066","4056","7993","63"
"2072","4050","8252","63"
"2077","3984","7892","63"
"2082","4039","7976","63"
"2087","4021","7690","63"
"2092","4034","8151","63"
"2097","4015","8141","63"
"2102","4031","8373","63"
"2107","4028","7966","63"
"2113","3996","8390","63"
"2118","4021","8013","63"
"2123","4028","8892","63"
"2128","4036","8141","63"
"2133","4023","8572","63"
"2138","4013","8262","63"
"2143","4021","8693","63"
"2148","4018","8158","63"
"2154","4015","8400","63"
"2159","4015","8427","63"
"2164","3981","7926","62"
"2169","4026","7892","62"
"2174","4018","8488","62"
"2179","4015","7976","62"
"2184","4026","8575","62"
"2189","4038","7728","62"
"2195","3994","7960","62"
"2200","4010","7805","62"
"2205","4015","7832","62"
"2210","4005","8373","62"
"2215","4002","7781","62"
"2220","4015","8229","62"
"2225","4015","8592","62"
"2230","4002","8299","62"
"2236","4023","7781","62"
"2241","4007","7495","62"
"2246","4015","7933","61"
"2251","4015","7721","61"
"2256","3990","8158","61"
"2261","4008","7966","61"
"2266","3995","7425","61"
"2271","4010","7754","61"
"2277","4026","8114","61"
"2282","4005","8683","61"
"2287","4007","7761","61"
"2292","4019","8649","61"
"2297","4002","7976","61"
"2302","4005","8606","61"
"2307","4032","8367","61"
"2312","4005","8272","61"
"2318","4027","7919","61"
"2323","3987","8239","61"
"2328","4010","8333","61"
"2333","4011","8962","61"
"2338","4011","8330","61"
"2343","3994","8686","61"
"2348","4000","8340","61"
"2353","3970","7919","61"
"2359","3987","8151","61"
"2364","4018","8357","61"
"2369","3978","7805","61"
"2374","4000","8316","61"
"2379","4005","7616","61"
"2384","4011","7960","61"
"2389","3990","7933","61"
"2394","4005","8400","61"
"2400","4010","8003","61"
"2405","4002","7839","61"
"2410","4011","7751","60"
"2415","4000","8279","60"
"2420","3990","7876","60"
"2425","4010","8081","60"
"2430","4040","7781","60"
"2435","4035","7684","60"
"2441","3996","7993","60"
"2446","3999","7889","60"
"2451","4020","7778","60"
"2456","3999","7933","60"
"2461","4019","8373","60"
"2466","3986","8074","60"
"2471","4020","8606","60"
"2476","4019","7788","60"
"2482","3990","8340","60"
"2487","3999","7798","60"
"2492","4019","8511","60"
"2497","4003","7442","60"
"2502","3986","8390","60"
"2507","4017","7431","60"
"2512","4001","8817","60"
"2517","4006","7916","60"
"2523","4014","8347","60"
"2528","4003","7475","60"
"2533","3980","8316","60"
"2538","4019","7684","60"
"2543","4014","8952","60"
"2548","4000","7966","60"
"2553","4027","8114","60"
"2558","4030","7980","60"
"2563","4026","8256","60"
"2569","4026","7899","60"
"2574","4000","8299","60"
"2579","4029","8124","60"
"2584","4000","7771","60"
"2589","4009","7519","60"
"2594","4017","7865","60"
"2599","4006","7876","60"
"2605","4014","7768","60"
"2610","4017","8013","60"
"2615","4006","7933","60"
"2620","4006","8081","60"
"2625","4016","7512","60"
"2630","3995","8202","60"
"2635","4003","7812","60"
"2640","4021","8952","60"
"2645","4024","7953","60"
"2651","3993","8643","60"
"2656","4009","7778","60"
"2661","4005","8908","60"
"2666","3997","8091","60"
"2671","4000","8424","60"
"2676","3995","7953","60"
"2681","4002","8925","60"
"2686","4011","7771","60"
"2692","3999","8710","60"
"2697","4011","7717","60"
"2702","4011","8545","60"
"2707","4002","7738","60"
"2712","4000","8521","60"
"2717","4011","7889","60"
"2722","3990","7997","60"
"2727","4011","7849","60"
"2733","3981","7778","60"
"2738","4018","7943","60"
"2743","4003","7431","60"
"2748","4011","8417","60"
"2753","4019","7495","60"
"2758","4000","8289","60"
"2763","4011","7865","60"
"2768","3997","8064","58"
"2774","4011","7781","58"
"2779","4000","8135","58"
"2784","4002","8124","58"
"2789","3979","8047","58"
"2794","3998","7798","58"
"2799","3994","7976","58"
"2804","3974","7768","58"
"2809","3998","8135","58"
"2815","4005","7899","58"
"2820","3997","8262","58"
"2825","4016","7569","58"
"2830","4005","8720","58"
"2835","4002","7849","58"
"2840","3973","8047","58"
"2845","3990","7458","58"
"2850","3971","8027","58"
"2856","4002","7892","58"
"2861","3997","8357","58"
"2866","3997","8262","58"
"2871","4010","8347","58"
"2876","3974","8252","58"
"2881","4002","8373","58"
"2886","4000","8013","58"
"2891","3981","8340","58"
"2897","4003","8225","58"
"2902","3952","8394","58"
"2907","3988","8151","58"
"2912","3991","7805","58"
"2917","3978","7509","58"
"2922","3999","8141","58"
"2927","3984","7805","58"
"2932","3981","7839","58"
"2938","3972","7458","58"
"2943","3999","7596","58"
"2948","3996","8347","58"
"2953","3968","7815","58"
"2958","3981","8124","58"
"2963","3988","7677","58"
"2968","3986","8081","58"
"2973","3994","8367","58"
"2979","3986","7324","58"
"2984","3994","8212","58"
"2989","3986","7997","58"
"2994","3994","8286","58"
"2999","3988","8279","58"
"3004","3983","7492","58"
"3009","3988","8962","58"
"3014","3984","8064","58"
"3020","4007","8774","58"
"3025","4003","7812","58"
"3030","3994","8229","58"
"3035","4008","8101","58"
"3040","3989","12000","58"
"3045","4007","8373","58"
"3050","3990","8347","58"
"3055","3995","7950","58"
"3061","3997","8357","58"
"3066","3998","7771","58"
"3071","4007","7717","58"
"3076","3992","7906","58"
"3081","3987","7822","58"
"3086","4007","7987","58"
"3091","3987","8461","58"
"3096","3994","7906","58"
"3102","4005","8027","58"
"3107","3998","7630","58"
"3112","3986","8229","58"
"3117","4007","8256","58"
"3122","4007","7771","58"
"3127","4007","8013","58"
"3132","3973","7987","58"
"3137","3988","8131","58"
"3143","3978","8141","58"
"3148","3978","8013","58"
"3153","3996","8195","58"
"3158","3997","8225","58"
"3163","4005","8010","58"
"3168","4013","8565","58"
"3173","4002","7781","58"
"3178","3997","8239","58"
"3183","4001","7839","58"
"3189","3996","8262","58"
"3194","3983","8316","58"
"3199","3992","8545","58"
"3204","4005","7788","58"
"3209","3996","9685","58"
"3214","4009","7812","58"
"3219","3991","8548","58"
"3224","3992","8175","58"
"3230","4010","9245","58"
"3235","4009","7754","58"
"3240","3997","8360","58"
"3245","3991","7876","58"
"3250","4005","8394","58"
"3255","3998","7822","58"
"3260","3981","8178","58"
"3265","3994","7778","58"
"3271","3994","7761","58"
"3276","4010","8649","58"
"3281","3989","7815","58"
"3286","3997","7690","58"
"3291","4002","7701","58"
"3296","4002","7976","58"
"3301","4002","7805","58"
"3306","4003","8333","58"
"3312","3998","8013","58"
"3317","3994","7452","58"
"3322","3990","8101","58"
"3327","3973","8124","58"
"3332","3992","7778","58"
"3337","3963","8316","58"
"3342","3998","7933","58"
"3347","4007","8135","58"
"3353","3968","7495","58"
"3358","3987","8286","58"
"3363","3989","8010","58"
"3368","3989","8797","58"
"3373","4011","8209","58"
"3378","4011","8754","58"
"3383","3993","7842","58"
"3388","3995","8538","58"
"3394","3985","8316","58"
"3399","3998","8114","58"
"3404","3990","7872","58"
"3409","3977","8064","58"
"3414","3985","8124","58"
"3419","3988","8770","58"
"3424","3987","8151","58"
"3429","3980","8962","58"
"3435","4000","7993","58"
"3440","4006","7976","58"
"3445","3980","8151","58"
"3450","3990","7596","58"
"3455","3980","8357","58"
"3460","3990","8622","58"
"3465","3998","8165","58"
"3470","3990","7805","58"
"3475","4011","7788","58"
"3481","3980","7660","58"
"3486","3972","7522","58"
"3491","4009","8373","58"
"3496","4000","7778","58"
"3501","4011","7754","58"
"3506","4014","8720","58"
"3511","3976","8219","58"
"3516","4008","7717","58"
"3522","3984","7876","58"
"3527","4013","7569","58"
"3532","4000","8373","58"
"3537","4024","8101","58"
"3542","4011","8272","58"
"3547","4009","8091","58"
"3552","4005","8666","58"
"3557","4018","8373","58"
"3563","3976","7815","58"
"3568","4013","8505","58"
"3573","4018","8407","58"
"3578","3993","8730","58"
"3583","4001","8158","58"
"3588","4011","8417","58"
"3593","4011","8394","58"
"3598","4018","8064","58"
"3604","4014","7788","58"
"3609","3985","8424","58"
"3614","3986","7865","58"
"3619","3994","8306","58"
"3624","4004","7761","58"
"3629","3966","8360","58"
"3634","3985","7485","58"
"3639","3974","8158","58"
"3645","4004","7462","58"
"3650","3982","7643","58"
"3655","3986","7936","58"
"3660","3991","7892","58"
"3665","3977","7849","58"
"3670","3978","8071","58"
"3675","3982","8659","58"
"3680","3964","7997","58"
"3686","3983","7970","58"
"3691","3953","8168","58"
"3696","3990","8178","58"
"3701","3967","8151","58"
"3706","3990","7859","58"
"3711","3982","7694","58"
"3716","3975","8582","58"
"3721","3994","7993","58"
"3727","3977","8360","58"
"3732","3977","7431","58"
"3737","3976","8390","58"
"3742","3971","8367","58"
"3747","3972","8848","58"
"3752","3966","7771","58"
"3757","3932","8659","57"
"3762","3953","7781","57"
"3768","3968","8824","57"
"3773","3963","7859","57"
"3778","3984","8797","57"
"3783","3953","7987","57"
"3788","3972","8713","57"
"3793","3980","7795","57"
"3798","3945","7539","57"
"3803","3980","7849","57"
"3808","3985","8360","57"
"3814","3968","8427","57"
"3819","3976","8151","57"
"3824","3966","7435","57"
"3829","3976","7553","57"
"3834","3968","7788","57"
"3839","3988","7906","57"
"3844","3973","8461","57"
"3849","3970","7936","57"
"3855","3962","7553","57"
"3860","3962","7751","57"
"3865","3957","8192","57"
"3870","3972","8037","57"
"3875","3960","8135","57"
"3880","3965","7771","57"
"3885","3957","7771","57"
"3890","3965","7815","57"
"3896","3949","8713","57"
"3901","3972","8151","57"
"3906","3960","9077","57"
"3911","3970","7452","57"
"3916","3962","8592","57"
"3921","3954","7987","57"
"3926","3960","8945","57"
"3931","3962","8135","57"
"3937","3960","8098","57"
"3942","3951","7815","57"
"3947","3960","8074","57"
"3952","3962","7643","57"
"3957","3954","8360","57"
"3962","3980","7980","57"
"3967","3985","8347","57"
"3972","3985","7815","57"
"3978","3959","7892","57"
"3983","3967","8256","57"
"3988","3964","7462","57"
"3993","3974","8185","57"
"3998","3967","7993","57"
"4003","3974","8360","57"
"4008","3964","7822","57"
"4013","3962","8357","57"
"4019","3961","8185","57"
"4024","3948","8037","57"
"4029","3982","8252","57"
"4034","3975","7943","57"
"4039","3975","8165","57"
"4044","3983","8357","57"
"4049","3990","8091","57"
"4054","3966","8141","57"
"4060","3980","7751","57"
"4065","3967","7993","57"
"4070","3956","7812","57"
"4075","3962","8754","57"
"4080","3986","8148","57"
"4085","3965","8834","57"
"4090","3965","8340","57"
"4095","3973","8306","57"
"4100","3976","8074","57"
"4106","3984","8256","57"
"4111","3954","8390","56"
"4116","3957","8461","56"
"4121","3958","8010","56"
"4126","3965","8606","56"
"4131","3971","8135","56"
"4136","3952","9420","56"
"4142","3992","8225","56"
"4147","3958","8390","56"
"4152","3986","7993","56"
"4157","3939","8347","56"
"4162","3939","8347","56"
"4167","3958","7822","56"
"4172","3986","7933","56"
"4177","3960","7812","56"
"4183","3952","8289","56"
"4188","3949","7761","56"
"4193","3960","7980","56"
"4198","3965","7980","56"
"4203","3943","7556","56"
"4208","3962","8390","56"
"4213","3965","7781","56"
"4218","3980","8400","56"
"4223","3956","7997","56"
"4229","3952","8054","56"
"4234","3946","8316","56"
"4239","3952","7650","56"
"4244","3962","7623","56"
"4249","3951","7778","56"
"4254","3954","8858","56"
"4259","3962","8229","56"
"4264","3954","8373","56"
"4270","3967","7458","56"
"4275","3939","10439","56"
"4280","3943","7889","56"
"4285","3952","8686","56"
"4290","3962","7916","56"
"4295","3962","8548","56"
"4300","3943","7761","56"
"4305","3962","8592","56"
"4311","3946","7916","56"
"4316","3930","8330","56"
"4321","3949","7448","55"
"4326","3941","9003","55"
"4331","3948","7633","55"
"4336","3922","8488","55"
"4341","3957","7728","55"
"4346","3930","8071","55"
"4352","3952","8390","54"
"4357","3946","7522","54"
"4362","3951","7865","54"
"4367","3948","7761","54"
"4372","3940","8269","54"
"4377","3957","8202","54"
"4382","3935","7832","54"
"4387","3920","7573","54"
"4393","3944","8306","54"
"4398","3949","7839","54"
"4403","3948","7778","54"
"4408","3919","7795","54"
"4413","3954","7616","54"
"4418","3951","7721","54"
"4423","3935","7849","54"
"4428","3948","8010","54"
"4433","3940","8394","54"
"4439","3940","7771","54"
"4444","3953","8713","54"
"4449","3950","7970","54"
"4454","3919","8495","54"
"4459","3943","8165","54"
"4464","3940","8929","54"
"4469","3948","8131","54"
"4474","3954","8649","54"
"4480","3956","7987","54"
"4485","3945","8256","54"
"4490","3943","8347","54"
"4495","3953","8592","54"
"4500","3954","8013","54"
"4505","3953","8918","54"
"4510","3948","8330","54"
"4515","3943","8367","54"
"4521","3941","7519","54"
"4526","3921","8168","54"
"4531","3937","7633","54"
"4536","3948","7822","54"
"4541","3932","8360","54"
"4546","3948","7408","54"
"4551","3945","7721","54"
"4556","3961","7926","54"
"4562","3953","8360","54"
"4567","3935","7842","54"
"4572","3956","8064","54"
"4577","3922","8202","54"
"4582","3953","8141","54"
"4587","3946","7684","54"
"4592","3937","8010","54"
"4597","3937","8135","54"
"4603","3935","7980","54"
"4608","3945","7596","54"
"4613","3922","8747","54"
"4618","3924","7751","54"
"4623","3956","8747","54"
"4628","3953","8148","54"
"4633","3940","8054","54"
"4638","3924","7690","54"
"4644","3953","8289","54"
"4649","3935","7842","54"
"4654","3949","8347","54"
"4659","3958","8256","54"
"4664","3932","8865","54"
"4669","3920","7788","53"
"4674","3935","8286","53"
"4679","3923","8340","53"
"4685","3935","8558","53"
"4690","3931","8135","52"
"4695","3898","8979","52"
"4700","3922","7926","52"
"4705","3927","7781","52"
"4710","3919","7660","52"
"4715","3907","7778","52"
"4720","3925","7684","52"
"4725","3919","7859","52"
"4731","3915","7788","51"
"4736","3923","7754","51"
"4741","3922","7418","51"
"4746","3914","8451","51"
"4751","3915","8296","51"
"4756","3935","10039","51"
"4761","3915","7717","51"
"4766","3919","7754","51"
"4772","3940","7425","51"
"4777","3915","7795","51"
"4782","3909","7771","51"
"4787","3911","8424","51"
"4792","3919","7839","51"
"4797","3906","8686","51"
"4802","3927","8565","51"
"4807","3935","8135","51"
"4813","3922","8390","51"
"4818","3893","7839","51"
"4823","3901","8360","51"
"4828","3909","7943","51"
"4833","3920","8360","51"
"4838","3911","7751","51"
"4843","3925","8407","51"
"4848","3898","7418","51"
"4854","3904","8256","51"
"4859","3919","7889","51"
"4864","3911","8865","50"
"4869","3909","7865","50"
"4874","3922","9938","50"
"4879","3906","7761","50"
"4884","3885","8390","50"
"4889","3911","7933","50"
"4895","3893","8135","50"
"4900","3921","8373","50"
"4905","3911","7832","50"
"4910","3926","7815","50"
"4915","3908","7997","50"
"4920","3931","7492","50"
"4925","3900","7842","50"
"4930","3900","8367","50"
"4935","3902","7839","50"
"4941","3905","7761","50"
"4946","3883","7849","50"
"4951","3926","7468","50"
"4956","3911","8027","50"
"4961","3910","8064","50"
"4966","3905","7926","50"
"4971","3908","7728","50"
"4976","3910","7788","50"
"4982","3887","8316","50"
"4987","3916","8108","50"
"4992","3913","9420","50"
"4997","3916","8020","50"
"5002","3913","8165","50"
"5007","3907","7899","50"
"5012","3899","8582","50"
"5017","3907","8306","50"
"5023","3917","9275","50"
"5028","3923","7660","50"
"5033","3920","8047","50"
"5038","3890","8047","50"
"5043","3895","8908","50"
"5048","3896","8424","50"
"5053","3888","8632","50"
"5058","3909","7761","50"
"5064","3896","8885","50"
"5069","3883","7815","50"
"5074","3914","7805","50"
"5079","3909","8417","50"
"5084","3896","7865","50"
"5089","3907","7849","50"
"5094","3899","7778","50"
"5099","3907","7751","50"
"5105","3877","7684","50"
"5110","3917","8256","49"
"5115","3904","8511","49"
"5120","3898","7822","49"
"5125","3896","7778","49"
"5130","3896","7889","49"
"5135","3909","8165","49"
"5140","3922","8316","49"
"5146","3940","7960","49"
"5151","3935","7768","49"
"5156","3922","8165","49"
"5161","3922","8622","49"
"5166","3924","7606","49"
"5171","3940","8400","49"
"5176","3911","7788","49"
"5181","3924","8636","49"
"5187","3909","7690","49"
"5192","3921","8333","49"
"5197","3929","8350","49"
"5202","3887","8730","49"
"5207","3916","8037","49"
"5212","3940","8565","49"
"5217","3908","8272","49"
"5222","3922","8444","49"
"5228","3922","8168","49"
"5233","3930","8686","49"
"5238","3932","8108","49"
"5243","3909","8693","49"
"5248","3918","7876","49"
"5253","3918","8693","49"
"5258","3922","8135","49"
"5263","3909","7778","49"
"5268","3918","7993","49"
"5274","3897","8340","49"
"5279","3909","7815","49"
"5284","3905","7458","49"
"5289","3901","7876","49"
"5294","3927","7987","49"
"5299","3918","8360","49"
"5304","3914","7815","49"
"5309","3906","7889","49"
"5315","3914","7744","49"
"5320","3908","7431","49"
"5325","3914","8202","49"
"5330","3898","7993","49"
"5335","3921","8269","49"
"5340","3906","7600","49"
"5345","3914","8252","49"
"5350","3922","9144","49"
"5356","3919","7754","49"
"5361","3926","8347","49"
"5366","3911","8185","49"
"5371","3894","8424","49"
"5376","3904","8131","49"
"5381","3886","8545","49"
"5386","3896","8124","49"
"5391","3880","8693","49"
"5397","3874","7761","49"
"5402","3898","8151","49"
"5407","3867","7768","49"
"5412","3893","8340","49"
"5417","3898","7694","49"
"5422","3885","8710","49"
"5427","3883","8333","49"
"5433","3894","8555","49"
"5438","3893","7970","49"
"5443","3883","8229","49"
"5448","3870","7778","49"
"5453","3874","8272","49"
"5458","3891","8098","49"
"5463","3864","8124","49"
"5468","3883","7980","49"
"5474","3903","7980","49"
"5479","3898","7788","49"
"5484","3875","7805","49"
"5489","3904","8272","49"
"5494","3880","8054","49"
"5499","3883","7701","49"
"5504","3880","7768","49"
"5509","3883","8360","49"
"5514","3870","8027","49"
"5520","3884","7805","49"
"5525","3884","7633","49"
"5530","3888","8653","49"
"5535","3881","7485","49"
"5540","3876","8659","49"
"5545","3875","7778","49"
"5550","3891","8340","49"
"5555","3884","7960","49"
"5561","3872","8720","49"
"5566","3892","7462","49"
"5571","3883","8895","49"
"5576","3904","8124","49"
"5581","3880","8764","49"
"5586","3870","7640","49"
"5591","3884","8468","49"
"5596","3891","7553","49"
"5602","3872","8064","49"
"5607","3873","8377","47"
"5612","3865","8114","47"
"5617","3867","8360","47"
"5622","3876","7751","47"
"5627","3862","8272","47"
"5632","3849","7728","47"
"5638","3871","7798","47"
